index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
85,NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,2013-2014,2013-2014,,EUR,2013,2014,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,11.1,11.11723,,,,,"DHS. 2013 Turkey demographic and health survey. Ankara, Turkey: Hacettepe University Institute of Population Studies, T.R. Ministry of Development and TÜBYTAK, 2014 (and additional analysis).Hacettepe University Institute of Population Studies.. "
86,NUTRITION_WH_2,Prevalence of wasted children aged <5 years   (% weight-for-height <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,,,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,,,,,,,"MICS. Multiple indicator cluster survey in Turkey 1995. Ankara: National Bureau of Statistics, 1996 (and additional analysis)..Ministry of Health.. Converted estimate"
87,NUTRITION_WH_3,Prevalence of severely wasted children aged <5 years   (% weight-for-height <-3 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,,,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,0.8,0.82241,,,,,"DHS. Turkish demographic and health survey 1998. Demographic and Health Surveys. Hacettepe University, Institute of Population Studies. Ankara, Turkey, 1999 (and additional analysis)..Hacettepe University, Institute of Population Studies. "
88,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_311387,NLIS_311387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311387,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,24.1,24.10000,,,,,
89,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_312781,NLIS_312781,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312781,PUBLISHED,Published,,2003-2004,2003-2004,,EUR,2003,2004,Europe,,,,,TUR,Turkey,,FMLE,Female,,16.6,16.60000,,,,,
90,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_312781,NLIS_312781,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312781,PUBLISHED,Published,,2003-2004,2003-2004,,EUR,2003,2004,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,15.6,15.60000,,,,,
91,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_313203,NLIS_313203,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313203,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,12.3,12.30000,,,,,
92,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313227,NLIS_313227,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313227,PUBLISHED,Published,,2013-2014,2013-2014,,EUR,2013,2014,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,10.9,10.90000,,,,,
93,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311387,NLIS_311387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311387,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,8.7,8.70000,,,,,
94,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_313227,NLIS_313227,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313227,PUBLISHED,Published,,2013-2014,2013-2014,,EUR,2013,2014,Europe,,,,,TUR,Turkey,,FMLE,Female,,8.0,8.00000,,,,,
95,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312781,NLIS_312781,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312781,PUBLISHED,Published,,2003-2004,2003-2004,,EUR,2003,2004,Europe,,,,,TUR,Turkey,,FMLE,Female,,7.5,7.50000,,,,,
96,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311996,NLIS_311996,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311996,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,FMLE,Female,,7.1,7.10000,,,,,
97,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_311387,NLIS_311387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311387,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,MLE,Male,,5.7,5.70000,,,,,
98,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_311387,NLIS_311387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311387,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,5.0,5.00000,,,,,
99,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_311996,NLIS_311996,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311996,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,,,,TUR,Turkey,,MLE,Male,,4.4,4.40000,,,,,
100,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312781,NLIS_312781,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312781,PUBLISHED,Published,,2003-2004,2003-2004,,EUR,2003,2004,Europe,,,,,TUR,Turkey,,BTSX,Both sexes,,1.1,1.10000,,,,,
101,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312781,NLIS_312781,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312781,PUBLISHED,Published,,2003-2004,2003-2004,,EUR,2003,2004,Europe,,,,,TUR,Turkey,,FMLE,Female,,0.6,0.60000,,,,,
102,WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/130,,,,PUBLISHED,Published,,1993,1993,,EUR,1993,1993,Europe,,,,,TUR,Turkey,,,,,10.7,10.70000,,,,,
103,WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/130,,,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,41.6,41.60000,,,,,
104,LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,,,,12.2 [9.6-15.5],12.20000,9.6,15.5,,,
105,LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,,,,TUR,Turkey,,,,,12.0 [9.4-15.5],12.00000,9.4,15.5,,,
106,LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,11.6 [9.1-14.9],11.60000,9.1,14.9,,,
107,LBW_PREVALENCE,"Low birth weight, prevalence (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,,,,TUR,Turkey,,,,,11.4 [9.0-14.7],11.40000,9.0,14.7,,,
108,LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,,,,176.8 [140.1-227.3],176.80000,140.1,227.3,,,
109,LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,,,,170.7 [135.2-216.7],170.70000,135.2,216.7,,,
110,LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,,,,TUR,Turkey,,,,,154.1 [122.1-197.8],154.10000,122.1,197.8,,,
111,LBW_NUMBER,Low birth weight (in thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/76,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,151.7 [120.2-194.9],151.70000,120.2,194.9,,,
112,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,83,83.00000,,,,,
113,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,97,97.00000,,,,,
114,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,86,86.00000,,,,,
115,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,98,98.00000,,,,,
116,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2018,2018,,EUR,2018,2018,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,87,87.00000,,,,,
117,PCV3,Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4757,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,93,93.00000,,,,,
118,PCV3,Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4757,,,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,97,97.00000,,,,,
119,PCV3,Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4757,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
120,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1983,1983,,EUR,1983,1983,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,56,56.00000,,,,,
121,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1985,1985,,EUR,1985,1985,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,55,55.00000,,,,,
122,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1992,1992,,EUR,1992,1992,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,77,77.00000,,,,,
123,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1994,1994,,EUR,1994,1994,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,87,87.00000,,,,,
124,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,79,79.00000,,,,,
125,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,88,88.00000,,,,,
126,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2003,2003,,EUR,2003,2003,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,68,68.00000,,,,,
127,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
128,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2010,2010,,EUR,2010,2010,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,97,97.00000,,,,,
129,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
130,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2000,2000,,EUR,2000,2000,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,71,71.00000,,,,,
131,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2002,2002,,EUR,2002,2002,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,72,72.00000,,,,,
132,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
133,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,94,94.00000,,,,,
134,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
135,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,98,98.00000,,,,,
136,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2018,2018,,EUR,2018,2018,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,98,98.00000,,,,,
137,WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/96,,,,PUBLISHED,Published,,2009,2009,,EUR,2009,2009,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
138,WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/96,,,,PUBLISHED,Published,,2011,2011,,EUR,2011,2011,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,97,97.00000,,,,,
139,WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/96,,,,PUBLISHED,Published,,2018,2018,,EUR,2018,2018,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,98,98.00000,,,,,
140,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1981,1981,,EUR,1981,1981,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,42,42.00000,,,,,
141,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1988,1988,,EUR,1988,1988,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,97,97.00000,,,,,
142,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1990,1990,,EUR,1990,1990,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,93,93.00000,,,,,
143,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1995,1995,,EUR,1995,1995,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,90,90.00000,,,,,
144,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,89,89.00000,,,,,
145,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2004,2004,,EUR,2004,2004,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,85,85.00000,,,,,
146,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,88,88.00000,,,,,
147,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2013,2013,,EUR,2013,2013,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
148,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2015,2015,,EUR,2015,2015,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
149,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1981,1981,,EUR,1981,1981,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,69,69.00000,,,,,
150,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1983,1983,,EUR,1983,1983,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,59,59.00000,,,,,
151,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1990,1990,,EUR,1990,1990,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,84,84.00000,,,,,
152,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1992,1992,,EUR,1992,1992,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,77,77.00000,,,,,
153,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1997,1997,,EUR,1997,1997,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,79,79.00000,,,,,
154,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1999,1999,,EUR,1999,1999,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,79,79.00000,,,,,
155,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2001,2001,,EUR,2001,2001,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,88,88.00000,,,,,
156,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2006,2006,,EUR,2006,2006,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,90,90.00000,,,,,
157,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2008,2008,,EUR,2008,2008,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
158,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2015,2015,,EUR,2015,2015,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,97,97.00000,,,,,
159,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2017,2017,,EUR,2017,2017,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
160,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1980,1980,,EUR,1980,1980,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,27,27.00000,,,,,
161,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1982,1982,,EUR,1982,1982,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,64,64.00000,,,,,
162,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1987,1987,,EUR,1987,1987,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,67,67.00000,,,,,
163,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1989,1989,,EUR,1989,1989,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,71,71.00000,,,,,
164,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1996,1996,,EUR,1996,1996,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,72,72.00000,,,,,
165,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1998,1998,,EUR,1998,1998,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,81,81.00000,,,,,
166,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2005,2005,,EUR,2005,2005,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,91,91.00000,,,,,
167,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2007,2007,,EUR,2007,2007,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
168,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2012,2012,,EUR,2012,2012,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,96,96.00000,,,,,
169,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2014,2014,,EUR,2014,2014,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,94,94.00000,,,,,
170,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2016,2016,,EUR,2016,2016,Europe,,WB_UMI,Upper-middle-income,,TUR,Turkey,,,,,98,98.00000,,,,,
