index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
1469,u5mr,Under-five mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3345,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200802,02 south,,,,,No data,,,,,,Not available.
1470,u5mr,Under-five mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3345,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200804,04 north,,,,,No data,,,,,,Not available.
1471,uwgt5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200804,04 north,,,,,2.8 [1.0-7.6],3.00000,1.0,8.0,,,
1472,vbcg,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200801,01 west,,,,,No data,,,,,,Not available.
1473,vbcg,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200803,03 central,,,,,No data,,,,,,Not available.
1474,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200803,03 central,,,,,No data,,,,,,Not available.
1475,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200805,05 east,,,,,No data,,,,,,Not available.
1476,vita,Children aged 6-59 months who received vitamin A supplementation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3332,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200802,02 south,,,,,No data,,,,,,Not available.
1477,vita,Children aged 6-59 months who received vitamin A supplementation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3332,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200804,04 north,,,,,No data,,,,,,Not available.
1478,vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200801,01 west,,,,,No data,,,,,,Not available.
1479,vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200803,03 central,,,,,No data,,,,,,Not available.
1480,wast5,Wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4488,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200803,03 central,,,,,1.3 [0.6-2.8],1.00000,1.0,3.0,,,
1481,wast5,Wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4488,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200805,05 east,,,,,1.8 [1.1-2.9],2.00000,1.0,3.0,,,
1482,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1483,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1484,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201301,01 west,,,,,No data,,,,,,Not available.
1485,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1486,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1487,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,No data,,,,,,Not available.
1488,cpmowho,Contraceptive prevalence - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1489,cpmowho,Contraceptive prevalence - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1490,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201301,01 west,,,,,No data,,,,,,Not available.
1491,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1492,imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1493,imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,No data,,,,,,Not available.
1494,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1495,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1496,ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4490,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201301,01 west,,,,,No data,,,,,,Not available.
1497,ors,Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4490,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1498,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1499,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,No data,,,,,,Not available.
1500,sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201301,01 west,,,,,No data,,,,,,Not available.
1501,sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1502,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,0.0 [0.0-0.0],0.00000,0.0,0.0,,,
1503,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,0.1 [0.0-0.6],0.00000,0.0,1.0,,,
1504,tfr,Total fertility rate (births per woman),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3344,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1505,tfr,Total fertility rate (births per woman),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3344,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1506,uwgt5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201301,01 west,,,,,1.8 [1.0-3.4],2.00000,1.0,3.0,,,
1507,uwgt5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,2.6 [1.0-6.6],3.00000,1.0,7.0,,,
1508,vbcg,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1509,vbcg,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,No data,,,,,,Not available.
1510,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1511,vfull,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1512,vfull,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1513,vmsl,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201301,01 west,,,,,No data,,,,,,Not available.
1514,vmsl,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1515,vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1516,vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,No data,,,,,,Not available.
1517,wast5,Wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4488,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,1.4 [0.7-2.8],1.00000,1.0,3.0,,,
1518,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199305,05 east,,,,,61.7 [53.6-69.1],62.00000,54.0,69.0,,,
1519,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199802,02 south,,,,,86.1 [83.3-88.5],86.00000,83.0,89.0,,,
1520,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200805,05 east,,,,,No data,,,,,,Not available.
1521,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1522,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200305,05 east,,,,,80.0 [76.2-83.3],80.00000,76.0,83.0,,,
1523,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199803,03 central,,,,,88.4 [86.0-90.5],88.00000,86.0,90.0,,,
1524,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199302,02 south,,,,,79.0 [74.2-83.2],79.00000,74.0,83.0,,,
1525,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199801,01 west,,,,,67.1 [62.3-71.6],67.00000,62.0,72.0,,,
1526,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200804,04 north,,,,,No data,,,,,,Not available.
1527,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201302,02 south,,,,,No data,,,,,,Not available.
1528,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1529,vita,Children aged 6-59 months who received vitamin A supplementation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3332,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1530,wast5,Wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4488,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,1.7 [0.6-4.8],2.00000,1.0,5.0,,,
1531,wast5,Wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4488,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,2.9 [1.4-5.8],3.00000,1.0,6.0,,,
1532,wast5,Wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4488,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,2.2 [1.2-4.3],2.00000,1.0,4.0,,,
1533,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201304,04 north,,,,,No data,,,,,,Not available.
1534,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199301,01 west,,,,,93.0 [91.3-94.4],93.00000,91.0,94.0,,,
1535,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199302,02 south,,,,,86.8 [84.1-89.1],87.00000,84.0,89.0,,,
1536,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200301,01 west,,,,,95.5 [94.0-96.6],96.00000,94.0,97.0,,,
1537,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201303,03 central,,,,,No data,,,,,,Not available.
1538,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS201305,05 east,,,,,No data,,,,,,Not available.
1539,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS200803,03 central,,,,,No data,,,,,,Not available.
1540,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199303,03 central,,,,,62.9 [57.8-67.8],63.00000,58.0,68.0,,,
1541,anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,,,,TURDHS199303,03 central,,,,,34.1 [29.1-39.5],34.00000,29.0,40.0,,,
