index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
76,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,67.2,67.24688,,,,,
77,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,67.6,67.59018,,,,,
78,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,60.6,60.56520,,,,,
79,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,62.6,62.55407,,,,,
80,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,64.4,64.40218,,,,,
81,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,65.6,65.64709,,,,,
82,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,66.0,66.02471,,,,,
83,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,11.8,11.80913,,,,,
84,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,12.6,12.63888,,,,,
85,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,13.5,13.52838,,,,,
86,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,14.2,14.18327,,,,,
87,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,14.4,14.38255,,,,,
88,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,13.9,13.91039,,,,,
89,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,15.0,14.97277,,,,,
90,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,15.9,15.87837,,,,,
91,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,16.3,16.34877,,,,,
92,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,16.6,16.55075,,,,,
93,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,12.9,12.87534,,,,,
94,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,13.8,13.82735,,,,,
95,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,14.7,14.74026,,,,,
96,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,15.3,15.32280,,,,,
97,WHOSIS_000007,Healthy life expectancy (HALE) at age 60 (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,15.5,15.52188,,,,,
98,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,0.7,0.68795,,,,,
99,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,1.1,1.05777,,,,,
100,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2000,2000,,EUR,Europe,,,2000,2000,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,0.3,0.32910,,,,,
101,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,0.6,0.56178,,,,,
102,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,0.7,0.74835,,,,,
103,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2005,2005,,EUR,Europe,,,2005,2005,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,0.4,0.38098,,,,,
104,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,0.5,0.47334,,,,,
105,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,0.6,0.58749,,,,,
106,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,0.4,0.36291,,,,,
107,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,0.3,0.31573,,,,,
108,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,0.4,0.40785,,,,,
109,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2015,2015,,EUR,Europe,,,2015,2015,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,0.2,0.22654,,,,,
110,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,0.3,0.30930,,,,,
111,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,0.4,0.40052,,,,,
112,SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4666,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,0.2,0.22090,,,,,
113,SDGCONFLICT,Estimated direct deaths from major conflicts (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3367,PUBLISHED,Published,,2012-2016,2012-2016,,EUR,Europe,,,2012,2016,,,TUR,Turkey,,,,,,,,,,,,,,1.1 [0.7-1.8],1.05304,0.67453,1.75692,,,
114,SDGIHR,"Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672,PUBLISHED,Published,,2017,2017,,EUR,Europe,,,2017,2017,,,TUR,Turkey,,,,,,,,,,,,,,88,87.59634,,,,,
115,SDGFP,Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4668,PUBLISHED,Published,,2013,2013,,EUR,Europe,,,2013,2013,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,59.7,59.70000,,,,,Turkey 2013 Demographic and Health Survey
116,SDGIHR,"Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672,PUBLISHED,Published,,2010,2010,,EUR,Europe,,,2010,2010,,,TUR,Turkey,,,,,,,,,,,,,,62,62.00000,,,,,
117,SDGIHR,"Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672,PUBLISHED,Published,,2012,2012,,EUR,Europe,,,2012,2012,,,TUR,Turkey,,,,,,,,,,,,,,82,82.00000,,,,,
118,SDGIHR,"Average of 13 International Health Regulations core capacity scores, 1st version of the questionnaire",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4672,PUBLISHED,Published,,2014,2014,,EUR,Europe,,,2014,2014,,,TUR,Turkey,,,,,,,,,,,,,,78,78.00000,,,,,
119,SDGPM25,Concentrations of fine particulate matter (PM2.5),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4674,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,43.2 [36.9-52.8],43.16836,36.88651,52.81271,,,
120,SDGPM25,Concentrations of fine particulate matter (PM2.5),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4674,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,42.0 [36.6-51.0],41.97021,36.61045,50.95026,,,
121,SDGPM25,Concentrations of fine particulate matter (PM2.5),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4674,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,41.2 [36.6-50.5],41.20173,36.60133,50.46473,,,
122,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE039,Lower respiratory infections,,3[ 2–4],2.92720,2.22095,3.68489,,,
123,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE039,Lower respiratory infections,,2[ 2–3],2.35563,1.78728,2.96537,,,
124,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE039,Lower respiratory infections,,4[ 3–4],3.51694,2.6684,4.42727,,,
125,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE113,Ischaemic heart disease,,22[ 17–26],21.79609,17.45947,26.31777,,,
126,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE113,Ischaemic heart disease,,18[ 13–22],17.70458,13.34438,22.40519,,,
127,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE113,Ischaemic heart disease,,26[ 22–30],26.01770,21.60783,30.28012,,,
128,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,6[ 4–9],6.12057,3.83102,8.59029,,,
129,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,2[ 1–2],1.71468,1.07326,2.40658,,,
130,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,11[ 7–15],10.66654,6.67647,14.97062,,,
131,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE114,Stroke,,6[ 5–8],6.31400,4.84712,8.2513,,,
132,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE114,Stroke,,6[ 4–8],5.95647,4.42966,8.0666,,,
133,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE114,Stroke,,7[ 5–9],6.68290,5.24096,8.51742,,,
134,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE039,Lower respiratory infections,,3[ 2–4],2.95586,2.24269,3.72097,,,
135,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE039,Lower respiratory infections,,2[ 2–3],2.12590,1.61298,2.67617,,,
136,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE039,Lower respiratory infections,,4[ 3–5],4.13677,3.13868,5.20755,,,
137,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE113,Ischaemic heart disease,,22[ 18–27],21.97034,17.59904,26.52816,,,
138,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE113,Ischaemic heart disease,,15[ 12–20],15.42376,11.62527,19.5188,,,
139,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE113,Ischaemic heart disease,,30[ 25–35],30.03148,24.94129,34.95147,,,
140,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,6[ 4–9],6.16897,3.86132,8.65822,,,
141,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,2[ 1–2],1.58847,0.99426,2.22943,,,
142,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,12[ 7–16],11.74511,7.35157,16.4844,,,
143,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE114,Stroke,,6[ 5–8],6.35041,4.87506,8.29887,,,
144,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE114,Stroke,,5[ 4–7],5.26133,3.9127,7.1252,,,
145,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE114,Stroke,,8[ 6–10],7.82571,6.13719,9.97393,,,
146,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE000,Total,,46[ 40–53],46.15403,39.81316,52.83862,,,
147,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE000,Total,,34[ 28–39],33.58936,27.96722,39.27387,,,
148,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE000,Total,,59[ 51–67],59.11822,50.85813,67.48004,,,
149,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,9[ 5–13],8.99617,5.22816,13.10289,,,
150,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,6[ 3–9],5.85799,3.4044,8.53214,,,
151,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,12[ 7–18],12.23413,7.10992,17.81898,,,
152,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE000,Total,,47[ 40–53],46.56987,40.17187,53.31468,,,
153,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE000,Total,,29[ 25–34],29.44939,24.5202,34.43327,,,
154,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE000,Total,,69[ 59–79],68.84060,59.22208,78.57758,,,
155,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,9[ 5–13],9.12430,5.30263,13.28951,,,
156,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,FMLE,Female,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,5[ 3–7],5.04994,2.9348,7.35522,,,
157,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,EUR,Europe,,,2016,2016,,,TUR,Turkey,,,,,MLE,Male,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,15[ 9–22],15.10153,8.77632,21.99533,,,
158,SDGSUICIDE,Crude suicide rates (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4664,PUBLISHED,Published,,2016,2016,,EUR,Europe,,WB_UMI,2016,2016,Upper-middle-income,,TUR,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,,,,0.0,0.00000,,,,,
