index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),PLACE (CODE),PLACE (DISPLAY),PLACE (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
71,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,98,98.13390,,,,,
72,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,97,97.47709,,,,,
73,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2014.0,2014,,EUR,2014,2014,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,99,98.73387,,,,,
74,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2015.0,2015,,EUR,2015,2015,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,100,99.63028,,,,,
75,WSH_WATER_BASIC,Population using at least basic drinking-water services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4818,,,,PUBLISHED,Published,,2017.0,2017,,EUR,2017,2017,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,99,98.87572,,,,,
76,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,53,52.75675,,,,,
77,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,62,62.22538,,,,,
78,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,63,62.79339,,,,,
79,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,59,58.75361,,,,,
80,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,60,59.66337,,,,,
81,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,67,67.18025,,,,,
82,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,68,67.80154,,,,,
83,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,65,65.11109,,,,,
84,WSH_SANITATION_SAFELY_MANAGED,Population using safely managed sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4820,,,,PUBLISHED,Published,,2017.0,2017,,EUR,2017,2017,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,65,65.20024,,,,,
85,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,82,81.94706,,,,,
86,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2001.0,2001,,EUR,2001,2001,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,69,69.23088,,,,,
87,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,90,89.69547,,,,,
88,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,84,84.37987,,,,,
89,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,74,73.59260,,,,,
90,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2005.0,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,92,92.17433,,,,,
91,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2006.0,2006,,EUR,2006,2006,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,88,87.80276,,,,,
92,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,95,94.66813,,,,,
93,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2009.0,2009,,EUR,2009,2009,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,91,91.16730,,,,,
94,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,84,83.89623,,,,,
95,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,97,97.17686,,,,,
96,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,94,94.47568,,,,,
97,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2014.0,2014,,EUR,2014,2014,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,88,88.36621,,,,,
98,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2014.0,2014,,EUR,2014,2014,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,100,99.70053,,,,,
99,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2017.0,2017,,EUR,2017,2017,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,90,89.86342,,,,,
100,WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4821,,,,PUBLISHED,Published,,2017.0,2017,,EUR,2017,2017,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,100,99.82245,,,,,
101,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2000.0,2000,,EUR,2000,2000,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,1,0.53865,,,,,
102,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,1,1.09471,,,,,
103,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2002.0,2002,,EUR,2002,2002,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,0,0.22070,,,,,
104,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2003.0,2003,,EUR,2003,2003,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,1,0.50220,,,,,
105,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2005.0,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,1,1.13040,,,,,
106,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2005.0,2005,,EUR,2005,2005,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,0,0.15595,,,,,
107,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,1,1.16608,,,,,
108,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,0,0.09119,,,,,
109,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,1,1.20176,,,,,
110,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2011.0,2011,,EUR,2011,2011,Europe,,,,,TUR,Turkey,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,0,0.02643,,,,,
111,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2013.0,2013,,EUR,2013,2013,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,0,0.33665,,,,,
112,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2014.0,2014,,EUR,2014,2014,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,1,1.23744,,,,,
113,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,,,,TOTL,Total,,,,,,,,,,,,,,,,,0,0.32315,,,,,
114,WSH_SANITATION_OD,Population practising open defecation (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4823,,,,PUBLISHED,Published,,2017.0,2017,,EUR,2017,2017,Europe,,,,,TUR,Turkey,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,1,1.24934,,,,,
115,AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.17000,,,,,
116,AIR_13,Household air pollution attributable deaths per 100'000 capita,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2004.0,2004,,EUR,2004,2004,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.83000,,,,,
117,AIR_3_1,Percent of urban inhabitants living in cities covered by PM measurements,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,29,29.00000,,,,,
118,AIR_1,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2008.0,2008,,EUR,2008,2008,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,24797,24797.00000,,,,,
119,TOTENV_4,Age-standardized DALYs attributable to the environment (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4658,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE060,Noncommunicable diseases,,3 648,3647.83116,,,,,
120,TOTENV_5,Deaths attributable to the environment (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4655,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,18,0.18000,,,,,
121,AIR_50,"Ambient air pollution attributable deaths (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,48,48.24004,,,,,
122,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,,,,,,,197 655,197655.32810,,,,,
123,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,GHE113,Ischaemic heart disease,,,,,,,,,,,371 760,371760.43750,,,,,
124,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,GHE114,Stroke,,,,,,,,,,,242 166,242165.68750,,,,,
125,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,GHE113,Ischaemic heart disease,,,,,,,,,,,132 386,132386.18750,,,,,
126,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,EUR,2012,2012,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,GHE000,All Causes,,,,,,,,,,,867 624 [720 077 - 1 018 543],867623.81250,720077.0,1018543.0,,,
127,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,2327 [1766–2930],2327.48735,1765.92737,2929.94214,,,
128,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,6 [4–9],6.16897,3.86132,8.65822,,,
129,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,12 [7–16],11.74511,7.35157,16.4844,,,
130,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,5 [4–7],5.26133,3.9127,7.1252,,,
131,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,36698 [31656–42013],36698.18614,31656.40625,42013.26563,,,
132,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,47 [40–53],46.56987,40.17187,53.31468,,,
133,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,4788 [2782–6973],4787.71005,2782.39941,6973.28467,,,
134,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,6 [4–9],6.12057,3.83102,8.59029,,,
135,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,11 [7–15],10.66654,6.67647,14.97062,,,
136,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE000,Total,,13563 [11293–15858],13562.84312,11292.71582,15858.1582,,,
137,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,7153 [4157–10418],7153.07199,4157.04053,10418.42773,,,
138,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,9 [5–13],8.99617,5.22816,13.10289,,,
139,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE104,Cataracts,,0 [0–0],0.00000,0.0,0.0,,,
140,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,128311 [80313–180086],128311.05060,80313.22656,180086.0938,,,
141,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,61589 [52121–73155],61588.63110,52120.80078,73154.58594,,,
142,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,328 [205–460],327.87589,205.22606,460.17773,,,
143,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,153 [129–181],152.52867,129.08092,181.17259,,,
144,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,74 [56–93],73.96375,56.11829,93.10877,,,
145,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,141 [120–168],141.22658,119.51626,167.74803,,,
146,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,75 [57–95],75.26720,57.10725,94.74963,,,
147,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,186 [159–216],185.97524,159.44174,216.38065,,,
148,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,FMLE,Female,,,,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,46 [29–65],46.48589,29.09673,65.24351,,,
149,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,EUR,2016,2016,Europe,,,,,TUR,Turkey,,,,,MLE,Male,,,,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,763 [660–870],763.45190,659.8855,870.21503,,,
