index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
876,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,TUR,1998,1998,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.2-5.7],5.50000,5.2,5.7,,,
877,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.2-5.7],5.50000,5.2,5.7,,,
878,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [119.2-129.8],124.40000,119.2,129.8,,,
879,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [119.5-129.4],124.40000,119.5,129.4,,,
880,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987.0,1987,,EUR,Europe,,TUR,1987,1987,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [119.8-129.2],124.40000,119.8,129.2,,,
881,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988.0,1988,,EUR,Europe,,TUR,1988,1988,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [119.9-129.0],124.40000,119.9,129.0,,,
882,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.9 [121.4-126.3],123.90000,121.4,126.3,,,
883,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.8 [121.4-126.1],123.80000,121.4,126.1,,,
884,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.6 [121.3-125.9],123.60000,121.3,125.9,,,
885,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.4 [121.0-125.8],123.40000,121.0,125.8,,,
886,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.2 [120.6-125.8],123.20000,120.6,125.8,,,
887,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.3 [118.5-132.5],125.30000,118.5,132.5,,,
888,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1984.0,1984,,EUR,Europe,,TUR,1984,1984,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.3 [119.1-132.0],125.30000,119.1,132.0,,,
889,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.4 [119.6-131.6],125.40000,119.6,131.6,,,
890,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,125.4 [120.0-131.3],125.40000,120.0,131.3,,,
891,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,124.8 [121.9-127.8],124.80000,121.9,127.8,,,
892,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,124.6 [121.9-127.4],124.60000,121.9,127.4,,,
893,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,124.3 [121.7-126.9],124.30000,121.7,126.9,,,
894,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,124.1 [121.6-126.5],124.10000,121.6,126.5,,,
895,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,123.8 [121.4-126.1],123.80000,121.4,126.1,,,
896,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,AGE20-PLUS,20+ years,,MLE,Male,,,,,26.6 [26.1-27.0],26.60000,26.1,27.0,,,
897,NCD_CCS_CancerRegNational,Existence of population-based cancer registry,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4479,PUBLISHED,Published,,2013.0,2013,,,,,TUR,2013,2013,Turkey,,,,,,,,,,,Yes,,,,,,
898,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.1 [17.7-26.9],22.10000,17.7,26.9,,,
899,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1985.0,1985,,EUR,Europe,,TUR,1985,1985,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,26.7 [19.6-34.1],26.70000,19.6,34.1,,,
900,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1991.0,1991,,EUR,Europe,,TUR,1991,1991,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,26.7 [21.1-32.8],26.70000,21.1,32.8,,,
901,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1997.0,1997,,EUR,Europe,,TUR,1997,1997,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,25.6 [20.8-30.7],25.60000,20.8,30.7,,,
902,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1998.0,1998,,EUR,Europe,,TUR,1998,1998,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,25.5 [20.8-30.4],25.50000,20.8,30.4,,,
903,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,24.2 [20.3-28.4],24.20000,20.3,28.4,,,
904,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,23.2 [19.3-27.4],23.20000,19.3,27.4,,,
905,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,30.4 [24.7-36.9],30.40000,24.7,36.9,,,
906,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,27.1 [23.1-31.6],27.10000,23.1,31.6,,,
907,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,24.6 [20.6-28.8],24.60000,20.6,28.8,,,
908,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.7 [16.8-27.0],21.70000,16.8,27.0,,,
909,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.2 [15.9-26.9],21.20000,15.9,26.9,,,
910,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2015.0,2015,,EUR,Europe,,TUR,2015,2015,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,20.1 [14.2-26.8],20.10000,14.2,26.8,,,
911,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1980.0,1980,,EUR,Europe,,TUR,1980,1980,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,29.6 [20.9-39.3],29.60000,20.9,39.3,,,
912,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1987.0,1987,,EUR,Europe,,TUR,1987,1987,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,30.4 [24.1-37.4],30.40000,24.1,37.4,,,
913,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,29.6 [24.5-35.4],29.60000,24.5,35.4,,,
914,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.8 [18.5-27.5],22.80000,18.5,27.5,,,
915,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,25.7 [21.8-29.8],25.70000,21.8,29.8,,,
916,BP_04,Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2014.0,2014,,EUR,Europe,,TUR,2014,2014,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,20.6 [15.1-26.9],20.60000,15.1,26.9,,,
917,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.8 [12.7-33.7],22.80000,12.7,33.7,,,
918,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1981.0,1981,,EUR,Europe,,TUR,1981,1981,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.8 [15.0-31.0],22.80000,15.0,31.0,,,
919,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1975.0,1975,,EUR,Europe,,TUR,1975,1975,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.8 [12.2-34.5],22.80000,12.2,34.5,,,
920,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1983.0,1983,,EUR,Europe,,TUR,1983,1983,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,22.9 [15.8-30.3],22.90000,15.8,30.3,,,
921,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,23.1 [18.2-28.5],23.10000,18.2,28.5,,,
922,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1986.0,1986,,EUR,Europe,,TUR,1986,1986,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,23.2 [17.0-29.7],23.20000,17.0,29.7,,,
923,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1981.0,1981,,EUR,Europe,,TUR,1981,1981,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,25.2 [17.9-33.7],25.20000,17.9,33.7,,,
924,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,25.8 [21.0-31.3],25.80000,21.0,31.3,,,
925,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,23.8 [20.1-27.9],23.80000,20.1,27.9,,,
926,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,22.0 [17.7-26.5],22.00000,17.7,26.5,,,
927,BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2386,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,21.7 [17.2-26.5],21.70000,17.2,26.5,,,
928,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,121.7 [113.6-130.0],121.70000,113.6,130.0,,,
929,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,122.7 [121.0-124.5],122.70000,121.0,124.5,,,
930,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,122.2 [120.4-124.0],122.20000,120.4,124.0,,,
931,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,120.2 [117.3-123.2],120.20000,117.3,123.2,,,
932,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,123.3 [121.5-125.2],123.30000,121.5,125.2,,,
933,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,121.9 [120.1-123.7],121.90000,120.1,123.7,,,
934,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2008.0,2008,,EUR,Europe,,TUR,2008,2008,Turkey,,YEARS18-PLUS,18+  years,,MLE,Male,,,,,121.6 [119.7-123.6],121.60000,119.7,123.6,,,
935,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1980.0,1980,,EUR,Europe,,TUR,1980,1980,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,125.9 [119.3-132.7],125.90000,119.3,132.7,,,
936,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1981.0,1981,,EUR,Europe,,TUR,1981,1981,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,126.1 [120.0-132.5],126.10000,120.0,132.5,,,
937,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,127.3 [125.0-129.6],127.30000,125.0,129.6,,,
938,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,125.4 [123.7-127.2],125.40000,123.7,127.2,,,
939,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,124.5 [122.8-126.2],124.50000,122.8,126.2,,,
940,BP_06,Mean systolic blood pressure (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS18-PLUS,18+  years,,FMLE,Female,,,,,119.8 [117.2-122.4],119.80000,117.2,122.4,,,
941,ANEMIAU5,Prevalence of anaemia in children under 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,PUBLISHED,Published,,1990.0,1990,,EUR,Europe,,TUR,1990,1990,Turkey,,,,,,,,,,,47.5 [19.9-76.6],47.47040,19.9085,76.5989,,,
942,ANEMIAU5,Prevalence of anaemia in children under 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,PUBLISHED,Published,,2003.0,2003,,EUR,Europe,,TUR,2003,2003,Turkey,,,,,,,,,,,34.0 [17.5-57.9],34.04060,17.5417,57.9392,,,
943,ANEMIAU5,Prevalence of anaemia in children under 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,PUBLISHED,Published,,2004.0,2004,,EUR,Europe,,TUR,2004,2004,Turkey,,,,,,,,,,,33.4 [17.1-56.8],33.41700,17.128,56.7979,,,
944,ANEMIAU5,Prevalence of anaemia in children under 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,PUBLISHED,Published,,2005.0,2005,,EUR,Europe,,TUR,2005,2005,Turkey,,,,,,,,,,,32.8 [16.7-55.6],32.76090,16.7029,55.6469,,,
945,ANEMIAU5,Prevalence of anaemia in children under 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,PUBLISHED,Published,,2006.0,2006,,EUR,Europe,,TUR,2006,2006,Turkey,,,,,,,,,,,32.0 [16.6-54.7],32.01500,16.6251,54.6872,,,
946,ANEMIAU5,Prevalence of anaemia in children under 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4801,PUBLISHED,Published,,2007.0,2007,,EUR,Europe,,TUR,2007,2007,Turkey,,,,,,,,,,,31.2 [16.3-53.4],31.20330,16.3377,53.3527,,,
947,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,,,,,,,,,,37.4 [18.0-58.8],37.35640,18.0349,58.7976,,,
948,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,,,,,,,,,,36.7 [18.3-57.4],36.67530,18.321,57.4492,,,
949,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,,,,,,,,,,36.0 [18.3-56.5],36.02750,18.3318,56.4945,,,
950,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,,,,,,,,,,35.4 [18.7-55.6],35.40460,18.6639,55.6494,,,
951,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,,,,,,,,,,32.3 [18.2-51.0],32.33310,18.1742,51.0085,,,
952,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,,,,,,,,,,32.5 [18.2-52.0],32.54510,18.2199,51.984,,,
953,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,,,,,,,,,,32.8 [18.0-53.1],32.80590,17.9818,53.0991,,,
954,ANEMIAPW,Prevalence of anaemia in pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,,,,,,,,,,33.1 [17.7-54.6],33.09050,17.6511,54.6157,,,
955,ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,1999.0,1999,,EUR,Europe,,TUR,1999,1999,Turkey,,,,,,,,,,,33.4 [16.7-54.0],33.38200,16.6696,53.9598,,,
956,ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2000.0,2000,,EUR,Europe,,TUR,2000,2000,Turkey,,,,,,,,,,,32.6 [16.3-53.3],32.63150,16.2782,53.2975,,,
957,ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2001.0,2001,,EUR,Europe,,TUR,2001,2001,Turkey,,,,,,,,,,,32.1 [15.8-52.7],32.06090,15.8207,52.6845,,,
958,ANEMIANPW,Prevalence of anaemia in non-pregnant women (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4552,PUBLISHED,Published,,2002.0,2002,,EUR,Europe,,TUR,2002,2002,Turkey,,,,,,,,,,,31.6 [15.5-52.2],31.63400,15.5415,52.2409,,,
